"categoryPath","heShortDesc","heDesc","heShortDescNew","heDescNew"
"חסידות","תנועת התחדשות רוחנית שנוסדה במאה ה־18, העוסקת בדבקות באלוהים ובהתגלות האלוהית בתוך עולם החומר.","החסידות היא תנועת התחדשות רוחנית־מיסטית שייסד באוקראינה באמצע המאה ה־18 רבי ישראל בן אליעזר, הנודע כ""בעל שם טוב"". שורשי החסידות יונקים מעולם הקבלה ומתמקדים בקיום מצוות מתוך שמחה, בתפילה בכוונה, בדבקות באלוהים ובאמונה בהימצאות האלוהים בכל מקום בעולם החומר. החסידות מעלה על נס את התפיסה שלכל אדם יש דרך סלולה למפגש עם אלוהים.","תנועת התחדשות רוחנית שייסד במאה ה־18 רבי ישראל בעל שם טוב, ועיקרה דבקות בהשי""ת וגילוי אלוקותו בכל.","החסידות היא תנועת התחדשות רוחנית שייסד באוקראינה באמצע המאה ה־18 רבי ישראל בן אליעזר, הנודע כבעל שם טוב. שורשיה יונקים מתורת הקבלה, והיא מתמקדת בקיום מצוות מתוך שמחה, בתפילה בכוונה, בדבקות בהקב""ה ובאמונה שמלוא כל הארץ כבודו. החסידות מלמדת שלכל אדם יש דרך סלולה לעבודת הבורא."
"חסידות/איזביצה","חיבורים המיוחסים לחסידות אישביצה-ראדזין, שיסד בראשית המאה ה-19 בפולין רבי מרדכי ליינר (המוכר בכינויו האישביצר או מי השילוח).","","",""
"חסידות/ברסלב","חיבורים מהמאה ה-19 שכתבו רבי נחמן מברסלב, נינו של הבעל שם טוב, ותלמידו הקרוב רבי נתן שטרנהרץ.","","",""
"חסידות/ספרי ראשית","כתבים מן המאה ה-18 הכוללים דרשות של מייסד החסידות הבעל שם טוב (רבי ישראל בן אליעזר) ושל תלמידיו.","","",""
"חסידות/ר' צדוק הכוהן","חיבוריו של ר' צדוק הכהן רבינוביץ', בן המאה ה-19, שהיה לתלמידו של האישביצר אף שבא מרקע המתנגד לחסידות, וברבות הימים הקים חסידות משלו בלובלין שבפולין.","ר' צדוק הכהן רבינוביץ' (1930-1823) שילב למדנות תלמודית עם עיסוק במחשבה ובקבלה והיה אחד הכותבים הפוריים ביותר בתולדות החסידות. ר׳ צדוק היה לתלמידו המובהק של האישביצר אף שבא מרקע המתנגד לחסידות, ולבסוף הקים חצר חסידית משלו בלובלין שבפולין. חיבוריו נכתבו במחברות אישיות ויצאו לאור לאחר מותו.","","ר' צדוק הכהן רבינוביץ' (1930-1823) שילב למדנות תלמודית עם עיסוק במחשבה ובקבלה והיה אחד הכותבים הפוריים ביותר בתולדות החסידות. ר׳ צדוק היה לתלמידו המובהק של האישביצר אף שבא מרקע המתנגד לחסידות, ולבסוף הקים חצר חסידית משלו בלובלין שבפולין. חיבוריו נכתבו במחברות אישיות ויצאו לאור לאחר פטירתו."
"מדרש","פרשנויות והרחבות למקורות תנ""כיים הכוללות סיפורים, משלים ודיונים הלכתיים.","המדרש הוא סוגה ספרותית של פרשנות ועיבוד לטקסטים תנ""כיים. מרבית קובצי המדרשים התגבשו מהמאה החמישית לספירה ובמהלך ימי הביניים. ספרי המדרש מאופיינים בשיטות פרשנות דומות, כגון השלמת חלקים חסרים בעלילה התנ""כית. בתלמוד אפשר למצוא קטעים מן המדרש בשכיחות גבוהה.","דברי חז""ל המבארים ומרחיבים את פסוקי התנ""ך, ובהם אגדות, משלים ודיונים הלכתיים.","המדרש הוא דברי חז""ל המבארים את פסוקי התנ""ך ומרחיבים אותם. מרבית קובצי המדרשים נערכו מן המאה החמישית לספירה ובמהלך ימי הביניים. ספרי המדרש מאופיינים בדרכי דרשה דומות, ובכללן השלמת פרטים שלא נתפרשו במקרא. בתלמוד מצויים דברי מדרש בשכיחות גבוהה."
"מדרש/אגדה","סיפורים ופירושים שאינם הלכתיים שנכתבו כהרחבה לטקסט המקראי.","מדרשי אגדה הינם סיפורים ופירושים שאינם הלכתיים שנכתבו כהרחבה לטקסט המקראי. ישנם מדרשים שמציעים פירוש לטקסט, ואילו אחרים משתמשים בפסוקים כבסיס לאמרות מוסר ודרשות תיאולוגיות.","דברי אגדה של חז""ל על פסוקי המקרא, שאינם מדרשי הלכה.","מדרשי אגדה הם דברי חז""ל שאינם הלכתיים, שנאמרו כהרחבה לפסוקי המקרא. יש מדרשים המבארים את הפסוקים, ואחרים נסמכים על הפסוקים כבסיס לאמרות מוסר ולדרשות באמונה."
"מדרש/אגדה/מדרש לקח טוב","מדרש מימי הביניים על התורה וחמש מגילות, המשלב פירושי מילים ואגדות.","","",""
"מדרש/אגדה/מדרש רבה","אוסף מדרשים על חמישה חומשי תורה וחמש מגילות שנאספו ממקורות שונים במהלך כ-800 שנים.","","",""
"מדרש/אגדה/סדר עולם רבה","רשימה כרונולוגית מן המאה השנייה הסוקרת ומפרשת אירועים מבריאת העולם ועד אלכסנדר הגדול.","""סדר עולם רבה"" הוא כרוניקה עברית מהמאה ה-2 לספירה, המפרט את התאריכים בהם אירעו מאורעות מקראיים שונים, החל בבריאת העולם וכלה בכיבוש פרס על ידי אלכסנדר מוקדון. במקור היה ""סדר עולם"" חיבור מקיף הרבה יותר, אשר עסק בתקופה הבתר-אלכסנדרונית, אך במתכונתו הנוכחית מקובצת התקופה מימי אלכסנדר ועד ימי אדריאנוס בסוף הפרק ה- 30 (והאחרון) של החיבור. הטקסט של ""סדר עולם"" אינו מוסיף סיפורים מעבר למה שמופיע בטקסט המקראי, ומתייחס לשאלות כגון גילו של יצחק בזמן העקידה ומספר השנים בהם הנהיג יהושע את עם ישראל. בצורתו הנוכחית כולל ""סדר עולם רבה"" שלושים פרקים, כאשר כל עשרה פרקים יוצרים ""חלק"" או ""שער"" נפרד. המסורת מתארכת את החיבור לשנת 160 לספירה לערך, וגורסת שחובר בידי ר' יוסי בן חלפתא, טענה שאיננה בלתי-סבירה, אך ככל הנראה נוספו לגרסה המקורית קטעים נוספים והוא הוהדר בתקופה מאוחרת יותר.","","""סדר עולם רבה"" הוא חיבור מן המאה ה-2 לספירה שחיבר התנא רבי יוסי בן חלפתא, ובו מפורטים התאריכים שבהם אירעו מאורעות המקרא, החל בבריאת העולם וכלה בכיבוש פרס בידי אלכסנדר מוקדון. החיבור אינו מוסיף סיפורים מעבר לכתוב במקרא, ומתייחס לשאלות כגון גילו של יצחק בשעת העקידה ומספר השנים שבהן הנהיג יהושע את עם ישראל. בצורתו שלפנינו כולל ""סדר עולם רבה"" שלושים פרקים, כאשר כל עשרה פרקים יוצרים ""חלק"" או ""שער"" נפרד."
