"categoryPath","heShortDesc","heDesc","heShortDescNew","heDescNew"
"שו״ת/גאונים","שאלות ותשובות (שו""ת) של רבנים וראשי ישיבות מתקופת המאה ה-6 עד תחילת המאה ה-11. עוסקות בפרשנות התלמוד, בהלכה ובהגות יהודית.","הגאונים היו רבנים ופוסקי הלכה שחיו בתקופה שהחלה במאה השישית, עם חתימת התלמוד, ונמשכה עד תחילת המאה ה-11 בקירוב. רבים מן הגאונים כיהנו כראש של אחת משתי ישיבות מרכזיות בבבל, סורא ופומבדיתא. השאלות שעליהן התבקשו להשיב נשלחו מיהודים תושבי האזור ומיהודים ממחוזות מרוחקים, והן עסקו בפרשנות התלמוד ובענייני הלכה. התשובות נכתבו בכמה שפות – עברית, ארמית וערבית - ואורכן השתנה ממשפט אחד ועד לספר שלם.","",""
"שו״ת/ראשונים","רבנים ופוסקי הלכה שחיו בתקופה שהחלה במאה ה-11 ונמשכה עד המאה ה-15. תשובותיהם מתמקדות בעיקר בסוגיות הלכתיות.","","",""
"שו״ת/ראשונים/רמב״ם","אוסף מן המאה ה-12 של תשובות הלכתיות ואיגרות בשלל נושאים, בהם משמעות העולם הבא והגדרת הכפירה, מאת רבי משה בן מימון.","","",""
"שו״ת/ראשונים/רשב״א","שאלות ותשובות מאת רבי שלמה בן אברהם בן אדרת, בן המאה ה-14,המכילות למעלה מ־3000 פסקי הלכה ומצוטטות רבות בשולחן ערוך.","","",""
"תוספתא","ספרות תנאית מקבילה לסדרי המשנה, הכוללת הלכות ודיונים שלא הוכנסו למשנה.","התוספתא (תוספת, השלמה) חופפת לסדרי המשנה, והיא כוללת הלכות ודיונים שלא הוכנסו למשנה. המבנה והתכנים של התוספתא מקבילים לאלה של המשנה, אך על פי רוב התוספתא מפורטת יותר.","",""
"תוספתא/דפוס וילנא","","התוספתא (תוספת, השלמה) חופפת לסדרי המשנה, והיא כוללת הלכות ודיונים שלא הוכנסו למשנה. המבנה והתכנים של התוספתא מקבילים לאלה של המשנה, אך על פי רוב התוספתא מפורטת יותר, ולכן היא ארוכה פי שלושה מהמשנה.","",""
"תוספתא/דפוס וילנא/סדר מועד","חגים","","",""
"תוספתא/דפוס וילנא/סדר נשים","דיני משפחה","","",""
"תוספתא/דפוס וילנא/סדר קדשים","קורבנות","","",""
"תוספתא/מהדורת ליברמן","","התוספתא (תוספת, השלמה) חופפת לסדרי המשנה, והיא כוללת הלכות ודיונים שלא הוכנסו למשנה. המבנה והתכנים של התוספתא מקבילים לאלה של המשנה, אך על פי רוב התוספתא מפורטת יותר, ולכן היא ארוכה פי שלושה מהמשנה.","",""
"תוספתא/מהדורת ליברמן/סדר מועד","חגים","","",""
"תוספתא/מהדורת ליברמן/סדר נשים","דיני משפחה","","",""
"תלמוד בבלי","","התלמוד הבבלי הוא טקסט מרכזי ביהדות הרבנית. המילה 'בבל' המופיעה בכותרת מתייחסת למיקום הגיאוגרפי בו גובש הטקסט, ולא ליחידה הפוליטית של האימפריה הבבלית. התלמוד כולל שני מרכיבים: המשנה (אשר נחתמה סביב השנה 200 לספירה) והגמרא (אשר נחתמה סביב השנה 500 לספירה). הגמרא היא דיון על המשנה, ובנויה לפי הסדרים והמסכתות אליו היא מחולקת. התלמוד כולו מכיל 63 מסכתות, המחולקות לפרקים ולדפים. כל דף הוא דו-צדדי והמספור מתחיל בדף ב, עמוד א. התלמוד כתוב בעברית תנאית ובארמית, וכולל את המימרות וההוראות של החכמים על מגוון נושאים: על הלכה, מוסר, פילוסופיה, מנהגים, היסטוריה, פולקלור ונושאים רבים אחרים. התלמוד הוא הבסיס לכל קבצי ההלכה היהודיים, ומצוטט באופן נרחב בספרות הרבנית. הוא מכונה גם 'הש""ס', ראשי תיבות של ""ששה סדרים,"" ששת הסדרים אליו מחולקים המשנה והגמרא.","דיוני חז״ל בנושאי הלכה, מוסר ותנ""ך שהתקיימו במשך דורות. בנויים כהרחבות על המשנה ושזורים בהם סיפורי אגדה.","התלמוד הבבלי הוא מיסודות התורה שבעל פה. השם 'בבלי' מתייחס למקום שבו גובש התלמוד. התלמוד כולל שני מרכיבים: המשנה (אשר נחתמה סביב השנה 200 לספירה) והגמרא (אשר נחתמה סביב השנה 500 לספירה). הגמרא היא דיון על המשנה, ובנויה לפי הסדרים והמסכתות אליהם היא מחולקת. התלמוד כולו מכיל 63 מסכתות, המחולקות לפרקים ולדפים. כל דף הוא דו-צדדי והמספור מתחיל בדף ב, עמוד א. התלמוד כתוב בלשון חכמים ובארמית, וכולל את המימרות וההוראות של החכמים על מגוון נושאים: הלכה, מוסר, מחשבה, מנהגים, היסטוריה ונושאים רבים אחרים. התלמוד הוא הבסיס לכל קובצי ההלכה, ומצוטט באופן נרחב בספרות הרבנית. הוא מכונה גם 'הש""ס', ראשי תיבות של ""שישה סדרים"", ששת הסדרים אליהם מחולקים המשנה והגמרא."
"תלמוד בבלי/אחרונים/באר שבע","פירוש על התלמוד מאת רבי יששכר איילנבורג","'באר שבע' הוא פירוש על התלמוד מאת רבי יששכר איילנבורג, רב פולני - איטלקי בסוף המאה ה-16 ותחילת המאה ה-17. הספר מורכב משבעה חיבורים ובהם פרשנות תלמודית בסגנון בעלי התוספות לשש מסכתות שחסר בהן פירוש [תוספות](https://www.sefaria.org/texts/Talmud/Bavli/Rishonim%20on%20Talmud/Tosafot). כותרת הספר מתייחסת לשבעת חלקיו: אחד לכל מסכת תלמוד שעליו נכתב פירוש תלמודי וחלק נוסף של שאלות ותשובות הלכתיות שכותרתו 'נר תורה'.","","'באר שבע' הוא פירוש על התלמוד מאת רבי יששכר איילנבורג, רב פולני - איטלקי בסוף המאה ה-16 ותחילת המאה ה-17. הספר מורכב משבעה חיבורים ובהם פרשנות תלמודית בסגנון בעלי התוספות לשש מסכתות שחסר בהן פירוש תוספות. כותרת הספר מתייחסת לשבעת חלקיו: אחד לכל מסכת תלמוד שעליו נכתב פירוש תלמודי וחלק נוסף של שאלות ותשובות הלכתיות שכותרתו 'נר תורה'."
"תלמוד בבלי/אחרונים/גבורת ארי","פירוש תלמודי מאת החכם הליטאי בן המאה ה-18, הרב אריה לייב גינצבורג, הידוע בכינויו 'שאגת אריה'.","'גבורת ארי' הוא פירוש לתלמוד מאת החכם הליטאי בן המאה ה-18, רבי אריה לייב גינצבורג, הידוע בכינוי 'שאגת אריה' על שם חיבורו. פרשנותו ארוכה ואנליטית ומתמקדת בהבנת הליבה של המקורות התלמודיים ופחות בעיסוק נרחב בפרשנויות תלמודיות אחרות. גינצבורג הביע עניין בפרסום חיבורו אך לא עשה זאת בחייו והפירושים נותרו בכתב יד עד לשנת 1862, בה פורסם הכרך הראשון על מסכת תענית. הכרכים על יומא ומכות יצאו לאור בשנת 1906, יותר ממאה שנה לאחר פטירתו של גינצבורג, על ידי רבי ישראל מאיר הכהן מראדין, ה'חפץ חיים'.","",""
"תלמוד בבלי/אחרונים/הגהות יעב״ץ","הערות מהמאה ה-18 של רבי יעקב עמדין (יַעְבֵ""ץ) על התלמוד הבבלי","בנוסף ליצירות הרבות שחיבר רבי יעקב עמדין (יַעְבֵ""ץ) בצורה פורמלית, היה נוהג במהלך לימודו את התלמוד הבבלי למלא את שולי הדף בהערות. בכמה מקומות, ציין עמדין כי בכוונתו לפרסם רשומות אלו, אך לא הספיק לעשות זאת בחייו. הערות אלו נדפסו לראשונה בסוף המאה ה-19 בדפוס ווילנא כ""הגדות יעקב"" או ""הערות יעקב בן צבי"".","","בנוסף ליצירות הרבות שחיבר רבי יעקב עמדין (יַעְבֵ""ץ) בצורה פורמלית, היה נוהג במהלך לימודו את התלמוד הבבלי למלא את שולי הדף בהערות. בכמה מקומות, ציין עמדין כי בכוונתו לפרסם רשומות אלו, אך לא הספיק לעשות זאת בחייו. הערות אלו נדפסו לראשונה בסוף המאה ה-19 בדפוס ווילנא כ""הגהות יעקב"" או ""הערות יעקב בן צבי""."
"תלמוד בבלי/אחרונים/חידושי הרי״מ","פירוש מהמאה ה-19 מאת ר' יצחק מאיר רוטנברג אלתר, מייסד שושלת חסידות גור","'חידושי הרי""ם' הוא פירוש מהמאה ה-19 על התלמוד מאת רבי יצחק מאיר רוטנברג-אלתר, מייסד שושלת חסידות גור. בהקדמה כותב נכדו של אלתר, שפרסם את החיבור, כי סבו החל לכתוב את פירושו זה בגיל 17. סגנון הכתיבה דומה לזה של רבנים אחרים בני זמנו: ארוך ואנליטי, לעתים קרובות מתעמק בדקויות השפה בפירושו של רש""י וההשלכות הרעיוניות שלה.","",""
"תלמוד בבלי/אחרונים/ים של שלמה","חיבור הלכתי מן המאה ה־16 מאת רבי שלמה לוריא, הערוך כפירוש לתלמוד","ים של שלמה הוא חיבור הלכתי מאת אחד מגדולי פוסקי ההלכה האשכנזים במאה ה־16, רבי שלמה לוריא, הידוע גם בשם המהרש""ל. לוריא התנגד לשיטת הקודיפיקציה הפשוטה של ההלכה היהודית שבה נקטו בני דורו, רבי יוסף קארו ורבי משה איסרליש (הרמ״א). במקום זאת, הוא בנה את חיבוריו כפירוש לתלמוד, תוך ניתוח סוגיות תלמודיות ושקילת דעותיהם של ראשונים לפני שהגיע לפסיקה הלכתית מעשית. החיבור נכתב במקור על שישה עשר מסכתות מן התלמוד, אך רק שבע מהן השתמרו עד ימינו.","",""
"תלמוד בבלי/אחרונים/ציון לנפש חיה","פירוש תלמוד מהמאה ה-18 מאת ר' יחזקאל לנדא","'ציון לנפש חיה (צל""ח)' הוא פירוש לתלמוד מאת הרב והפוסק הנודע מהמאה ה-18, יחזקאל לנדא, הידוע גם בכינוי ""נודע ביהודה"" על שם ספר השו""ת שלו וגם בכינוי ""צל""ח"" על שם ספר פירושיו לתלמוד. בחיבור זה כתובים ניתוחים נרחבים של נושאים תלמודיים, סריקה וביקורת של הסברים של פרשנים קודמים ופרשנויות חדשות. לנדא פירסם את שני הכרכים הראשונים של פרשנותו לתלמוד על מסכתות פסחים (1783) וברכות (1791) בחייו; כרכים נוספים פורסמו לאחר מותו. כותרת החיבור היא מחווה לאמו של לנדא, חיה, לה הקדיש את הספר.","",""
"תלמוד בבלי/אחרונים/שערי תורת בבל","פירוש מהמאה ה-20 לתלמוד הבבלי, כולל הערות על חכמי התלמוד, מאת הרב זאב וולף רבינוביץ","״שערי תורת בבל״ הוא פירוש לתלמוד הבבלי, שנכתב בתחילת המאה ה-20 על ידי הרב זאב וולף רבינוביץ, המכיל גם חיבור ארוך על חכמי התלמוד ומאמר קצר יותר על התלמוד עצמו. בחיבור זה משולבות תובנות מיצירות עכשוויות על מדע ורפואה כאשר נושאים אלה עולים בדיון התלמודי. הפירוש הוא גם על חלקי האגדה שבתלמוד, וכולל בתוכו היבטים פילוסופיים, אתיים ורגשיים של המחבר. ""שערי תורת בבל"" יצא לאור על ידי בנו של המחבר, יצחק רבינוביץ, בעריכת הרב פרופסור עזרא ציון מלמד.","",""
"תלמוד בבלי/סדר מועד","חגים","","",""
"תלמוד בבלי/סדר נשים","דיני משפחה","","",""
"תלמוד בבלי/סדר קדשים","קורבנות","","",""
"תלמוד בבלי/ראשונים/פסקי תוספות","חיבור מימי הביניים המתמצת את פסקי ההלכה של בעלי התוספות בפירושם על התלמוד ומצוטט רבות בקרב פוסקי ההלכה.","","",""
"תלמוד ירושלמי","","התלמוד הירושלמי (מאה 5-4 לספירה) היא אוסף הערות רבניות על המשנה (מאה 2 לספירה). הוא ידוע גם כתלמוד הפלסטיני או כ'תלמודא דארץ ישראל' (התלמוד של ארץ ישראל). שמות אלו נחשבים יותר מדויקים על ידי חוקרים מסוימים, היות והחיבור נכתב ככל הנראה נכתב, ולא בירושלים. לשון התלמוד הירושלמי הוא ניב ארמי מערבי. הטקסט של הירושלמי מקוטע וקשה לקריאה במקרים רבים, בשל העריכה החפוזה לה זכה בעקבות רדיפות יהודי ארץ ישראל בתקופה זו. התלמוד הירושלמי מסודר בשני אופנים שונים: מספור דפים, המחל בדף 2 עמוד א (בדומה לתלמוד הבבלי), או מספור לפי פרקים והלכות, לפי סדר המשנה.","דיוני חז״ל בנושאי הלכה, מוסר ותנ""ך שהתקיימו במשך דורות. בנויים כהרחבות על המשנה ושזורים בהם סיפורי אגדה.","התלמוד הירושלמי (מאה 5-4 לספירה) הוא אוסף דברי חז""ל על המשנה (מאה 2 לספירה). הוא ידוע גם בשם 'תלמודא דארץ ישראל'. לשון התלמוד הירושלמי היא ניב ארמי מערבי. הטקסט של הירושלמי מקוטע וקשה לקריאה במקרים רבים, בשל העריכה החפוזה לה זכה בעקבות רדיפות יהודי ארץ ישראל בתקופה זו. התלמוד הירושלמי מסודר בשני אופנים שונים: מספור דפים, המתחיל בדף ב עמוד א (בדומה לתלמוד הבבלי), או מספור לפי פרקים והלכות, לפי סדר המשנה."
"תלמוד ירושלמי/מפרשים/פירוש שלמה סיריליו על תלמוד ירושלמי","פירוש מהמאה ה-16 לתלמוד הירושלמי מאת רבי שלמה סיריליו מספרד","רבי שלמה סיריליאו מהמאה ה-16 כתב את אחד הפירושים הראשונים לתלמוד הירושלמי, בעיקר על חלקים ללא מקבילות בתלמוד הבבלי, כמו סדר זרעים. סיריליאו החליט לכתוב את פירושו לאחר שראה הערות שוליים של רב מסלוניקי על סדר מועד של התלמוד הירושלמי. הוא ציין כי הטקסט התלמודי של סדר זרעים היה קשה וחסר פרשנות קדומה יותר. סגנון הפירוש מזכיר את זה של רש""י לתלמוד הבבלי תוך הצעת הסברים ושימוש במילים בספרדית כדי להגדיר מילים (בדומה לשימוש של רש״י בצרפתית).","",""
"תלמוד ירושלמי/מפרשים/שערי תורת ארץ ישראל","פירוש מהמאה ה-20 לתלמוד הירושלמי שנכתב על ידי הרב זאב וולף רבינוביץ","״שערי תורת ארץ ישראל״ הוא פירוש לתלמוד הירושלמי שנכתב בתחילת המאה ה-20 על ידי הרב זאב וולף רבינוביץ. המחבר כותב בהקדמתו כי למד את התלמוד הירושלמי מנעוריו ומצא כי הפירושים הקיימים אינם מספקים, בין השאר משום שמחבריהם הושפעו מגישות של התלמוד הבבלי הנלמד יותר. היצירה יצאה לאור לאחר מותו על ידי בנו של המחבר, יצחק רבינוביץ, שהקדיש אותה לזכר אמו.","",""
"תלמוד ירושלמי/סדר מועד","חגים","","",""
"תלמוד ירושלמי/סדר נשים","דיני משפחה","","",""
"תנ״ך","תורה, נביאים וכתובים - שלושת החלקים המרכיבים את התורה שבכתב, טקסט היסוד של היהדות.","התנ""ך (תורה, נביאים, כתובים) הוא טקסט היסוד של היהדות. ב-24 ספריו נכללים סיפורים, חוקים, שירה וכן תובנות ולקחים הקשורים לאלוהים, לעם ישראל ולאנושות.","תורה, נביאים וכתובים - שלושת החלקים המרכיבים את התורה שבכתב, יסוד היהדות.","התנ""ך (תורה, נביאים, כתובים) הוא יסוד היהדות. בעשרים וארבעה ספריו נכללים דברי נבואה, מצוות, שירה ומוסר, וכן תובנות ולקחים בענייני הקב""ה, עם ישראל והאנושות."
"תנ״ך/אחרונים/אבי עזר","ביאור לפירוש אבן עזרא לתורה, מן המאה ה-18.","","",""
"תנ״ך/אחרונים/אדרת אליהו","פירוש מן המאה ה-18 שכתב הגאון מווילנה, רבי אליהו בן שלמה זלמן.","","",""
"תנ״ך/אחרונים/אור החיים","פירוש מיסטי לתורה מן המאה ה-18 שמקורו במרוקו, ונתפס כיצירה מהותית בעיני מייסדי תנועת החסידות באירופה.","","פירוש לתורה מן המאה ה-18 שמקורו במרוקו, ונתפס כיצירה מהותית בעיני מייסדי תנועת החסידות באירופה.",""
"תנ״ך/אחרונים/אלשיך","פירוש מן המאה ה-16 המדגיש מסרים בתחום האתיקה והמוסר הדתי הטמונים בכל פסוק.","","פירוש מן המאה ה-16 המדגיש מסרים בתחום טוהר המידות והמוסר הטמונים בכל פסוק.",""
"תנ״ך/אחרונים/אמרי יושר","פירוש על חמש מגילות של מחבר הספר 'נתיבות משפט', מן המאה ה-19.","","",""
"תנ״ך/אחרונים/גור אריה","ביאור על פירוש רש""י לתורה שכתב המהר""ל מפראג, בן המאה ה-16.","","",""
"תנ״ך/אחרונים/הכתב והקבלה","פירוש מן המאה ה-19 שחיבר אחד המתנגדים ליהדות הרפורמית, ומטרתו להוכיח את החיבור בין התורה שבכתב לתורה שבעל פה.","","",""
"תנ״ך/אחרונים/העמק דבר","פירוש רב-השפעה של הנצי""ב מן המאה ה-19, המבוסס על דרשות שבועיות שנשא על פרשת השבוע בישיבת וולוז'ין.","","",""
"תנ״ך/אחרונים/הרחב דבר","הרחבות הנצי""ב על פירושו 'העמק דבר'.","","",""
"תנ״ך/אחרונים/חיד״א","סדרה של פירושיו של הרב חיים יוסף דוד אזולאי , בן המאה ה-18, המשלבים פרשנות חז""ל וקבלה.","","סדרה של פירושיו של הרב חיים יוסף דוד אזולאי, בן המאה ה-18, המשלבים פרשנות חז""ל וקבלה.",""
"תנ״ך/אחרונים/כלי יקר","פירוש המבוסס בחלקו על דרשות של המחבר, הרב שלמה אפרים מלונטשיץ, מן המאה ה-17.","","",""
"תנ״ך/אחרונים/מזרחי","ביאור לפירוש רש""י על התורה, נכתב במאה ה-16, המשלב הגנה על פירושי רש""י נגד הרמב""ן ופרשנים אחרים החולקים על פירושיו.","","",""
"תנ״ך/אחרונים/מלבי״ם","פירוש מן המאה ה-19 המבוסס על ההשערה שלכל מילה מקראית משמעות ייחודית, ואין חזרות או כפילויות מיותרות.","","",""
"תנ״ך/אחרונים/מצודת דוד","פירוש קלאסי מן המאה ה-18 על נביאים וכתובים, המתבסס בעיקר על פירוש רד""ק ומבאר את הפסוקים בשפה ברורה ופשוטה.","","",""
"תנ״ך/אחרונים/מצודת ציון","ביאור למילים מקראיות, במקור פורסם עם מצודת דוד כחיבור משולב.","","",""
"תנ״ך/אחרונים/משך חכמה","פירוש לתורה שכתב הרב מאיר שמחה הכהן מדווינסק, שהתחיל לכותבו כשהיה נער צעיר במאה ה-20.","","",""
"תנ״ך/אחרונים/שפתי חכמים","ביאור לפירוש רש""י המזהה את הקשיים בטקסט המקראי שבבסיס פירושי רש""י; נכתב במאה ה-17.","","",""
"תנ״ך/אחרונים/תורה תמימה","אנציקלופדיה מתחילת המאה ה-20 שבה קטעים מספרות חז""ל הנוגעים לכל פסוק בתורה בליווי הסברים קצרים.","","",""
"תנ״ך/ראשונים/אבן עזרא","פירוש פשט המשלב ביאורים המבוססים על דקדוק ובלשנות; חובר במאה ה-12.","","",""
"תנ״ך/ראשונים/אברבנאל","פירוש לתורה ולנביאים מן המאה ה-15; כל קטע חדש בו נפתח ברשימת שאלות על הטקסט המקראי.","","פירוש לתורה ולנביאים מן המאה ה-15; כל קטע חדש בו נפתח ברשימת שאלות על הפסוקים.",""
"תנ״ך/ראשונים/בכור שור","פירוש של אחד מבעלי התוספות בצרפת מן המאה ה-12, המתמקד בביאור מילים וביטויים ובמתן הסברים רציונליים לניסים במקרא.","","פירוש של אחד מבעלי התוספות בצרפת מן המאה ה-12, המתמקד בביאור מילים וביטויים ובפשוטם של מקראות.",""
"תנ״ך/ראשונים/בעל הטורים","מבואות קצרים לפרשיות מקראיות המשלבים גימטריות ומשחקי לשון. חובר במאה ה-14.","","",""
"תנ״ך/ראשונים/דעת זקנים","פירוש שחיברו בעלי התוספות במאות ה-12 וה-13 בעיקר בצרפת ובגרמניה.","","",""
"תנ״ך/ראשונים/הטור הארוך","פירוש של בעל הטורים, בן המאה ה-14, המשלב סיכומים של פרשנות קיימת, בייחוד זו של הרמב""ן.","","",""
"תנ״ך/ראשונים/חזקוני","פירוש מן המאה ה-13 המציג ביאורים של פרשנות פשט שקדמה לו לצד חידושים.","","",""
"תנ״ך/ראשונים/יוסף אבן יחיא","פירוש מן המאה ה-16 על ספרי הכתובים, מיוחס לתלמידו של הרשב""א.","","",""
"תנ״ך/ראשונים/מנחת שי","פירוש מן המאה ה-17 המתמקד בשינויי נוסח, טעמי המקרא ודקדוקי הגייה בטקסט המקראי.","","",""
"תנ״ך/ראשונים/ספורנו","פירוש של רב ורופא איטלקי מן המאה ה-16, ובו ביאורים קצרים ופשוטים לטקסט המקראי.","","",""
"תנ״ך/ראשונים/קיצור בעל הטורים","קיצור הפירוש לתורה שכתב בעל הטורים במאה ה-14.","","",""
"תנ״ך/ראשונים/ר' סעדיה גאון","פירוש המשלב מאמרים הלכתיים ופילוסופיים עם קשר רופף לפסוקי המקרא; נכתב במאה ה-10.","","פירוש המשלב מאמרים הלכתיים ומחשבתיים בביאור הפסוקים; נכתב במאה ה-10.",""
"תנ״ך/ראשונים/רבינו חננאל","פירוש אבוד מן המאה ה-11 שנלקט מציטוטים שהביאו ממנו פרשנים מאוחרים לו ומקטעי כתבי יד שהתגלו בגניזת קהיר.","","",""
"תנ״ך/ראשונים/רבנו בחיי","פירוש מן המאה ה-14 המשלב ביאורים לשוניים עם פרשנות אלגורית, פילוסופית ומיסטית.","","פירוש מן המאה ה-14 המשלב ביאורים לשוניים עם דרש, מחשבה ותורת הסוד.",""
"תנ״ך/ראשונים/רד״ק","פרשנות פשט ידועה מן המאה ה-13 המשלבת עיונים לשוניים ופילוסופיים.","","",""
"תנ״ך/ראשונים/רלב״ג","פירוש ביטויים ופסוקים המשולבים באמרות מוסר, הלכה, פילוסופיה, מתמטיקה ואסטרונומיה; נכתב במאה ה-14.","","פירוש ביטויים ופסוקים המשולבים באמרות מוסר, הלכה, מחשבה, מתמטיקה ואסטרונומיה; נכתב במאה ה-14.",""
"תנ״ך/ראשונים/רלב״ג ביאור המלות","אחד משלושת החלקים של פירוש רלב""ג לתורה, המתמקד בהגדרות לשוניות.","","",""
"תנ״ך/ראשונים/רמב״ן","פירוש מהמאה ה-13 המשלב פרשנות מקראית עם הלכה, הגות ומיסטיקה.","","פירוש מהמאה ה-13 המשלב פרשנות המקרא עם הלכה, מחשבה ותורת הסוד.",""
"תנ״ך/ראשונים/רשב״ם","פירוש פשט ידוע מן המאה ה-12 שחיבר נכדו של רש""י.","","",""
"תנ״ך/ראשונים/רש״י","הפירוש הנפוץ והמוכר ביותר לתורה, המבאר את פשטי המקראות בתוספת הרחבות פרשניות; חובר במאה ה-11.","","",""
"תנ״ך/תורה","","התורה כוללת את חמשת הספרים הראשונים של התנ""ך. לפי המסורת הרבנית, התורה שבכתב, יחד עם התורה שבעל פה, המרכיבים יחד את ההלכה היהודית, ניתנו בנבואה למשה. המסורת היהודית מחלקת את התורה לפרשיות, כאשר כל שבוע נקראת פרשה אחת, וקריאת כל חמשת החומשים מסתיימת במהלך כל שנה ושנה. הנוצרים חילקו את התורה לפרקים ופסוקים, וחלוקה זאת נמצאת בשימוש גם אצל יהודים מאז ימי הביניים.","","התורה כוללת את חמשת הספרים הראשונים של התנ""ך. התורה שבכתב, יחד עם התורה שבעל פה, המרכיבות יחד את ההלכה, ניתנו למשה רבנו מסיני. המסורת מחלקת את התורה לפרשיות, כאשר בכל שבוע נקראת פרשה אחת, וקריאת כל חמשת החומשים מסתיימת במהלך כל שנה ושנה."
"תנ״ך/תרגומים","תרגום של התנ""ך לארמית, במקור הועבר בעל פה, והועלה על הכתב מן המאה ה-1 עד המאה ה-8 לספירה.","הקטגוריה של 'תרגומים' כוללת את תרגומי התורה לארמית, תרגומים שהועברו במקור בעל פה והועלו על הכתב בין המאה ה-1 ל-6 לספירה.","",""
"תנ״ך/תרגומים/תפסיר רס״ג","תרגום רב-השפעה של התורה לערבית באותיות עבריות שחיבר הרב סעדיה גאון במאה ה-10.","","",""
"תנ״ך/תרגומים/תרגום","תרגומים על ספרי כתובים במגוון סגנונות ממגוון תקופות.","","",""
"תנ״ך/תרגומים/תרגום אונקלוס","התרגום המרכזי לתורה שהתקבל בתלמוד כתרגום סמכותי; בתקופת התלמוד נקרא בבית הכנסת לצד קריאת התורה, ועדיין נקרא היום בקהילות יהודי תימן.","","",""
"תנ״ך/תרגומים/תרגום יונתן","תרגום מרכזי על ספרי הנביאים שנקרא בציבור בבית הכנסת בתקופת התלמוד, ועדיין נקרא היום בקהילות של יהודי תימן.","","",""
"תנ״ך/תרגומים/תרגום ירושלמי","קטעי תרגום על מבחר ביטויים בתורה.","","",""
"תנ״ך/תרגומים/תרגום ניאופיטי","תרגום לתורה המשלב הרחבות פרשניות על הטקסט המקראי; חובר בארץ ישראל.","","",""
